Nazwa_produktu;Nazwa;Typ;Rodzaj;Url_obrazka;Producent;Oznaczenie;Typ_dodatku_do_żywności;Opis;Choroba;Nazwa_zwyczajowa
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E290;Konserwant;"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (ok. 1,5 raza). Pod normalnym ciśnieniem przechodzi ze stanu stałego do gazowego (sublimuje) z pominięciem fazy ciekłej w temperaturze −78,5 °C. Można go jednak skroplić pod zwiększonym ciśnieniem, np. pod ciśnieniem 34 atm) skrapla się w temperaturze 0 °C. W naturze występuje w stanie wolnym w atmosferze i związanym (np. Jako składnik CaCO3).
Dwutlenek węgla jest produktem spalania i oddychania. Jest wykorzystywany przez rośliny w procesie fotosyntezy. Tworzy się przy utlenianiu i fermentacji substancji organicznych. Występuje w kopalniach, cukrowniach, gorzelniach, wytwórniach win, silosach zbożowych, browarach i studzienkach kanalizacyjnych. W małych stężeniach nie jest trujący, w większych stężeniach dwutlenek węgla jest szkodliwy dla zdrowia, a nawet zabójczy, a jego działanie powoduje powstawanie hiperkapni, a co za tym idzie kwasicy oddechowej i w następstwie obrzęku mózgu.";;Dwutlenek Węgla
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Problemy jelitowe; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Nowotwór; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Nadciśnienie; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Zmniejszenie liczby białych krwinek w krwioobiegu; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Demineralizacja kości;Kwas fosforowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Choroby nerek;Kwas fosforowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Kamienie nerkowe;Kwas fosforowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Przeciwutleniacz;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Osteoporoza;Kwas fosforowy
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E290;Konserwant;"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (ok. 1,5 raza). Pod normalnym ciśnieniem przechodzi ze stanu stałego do gazowego (sublimuje) z pominięciem fazy ciekłej w temperaturze −78,5 °C. Można go jednak skroplić pod zwiększonym ciśnieniem, np. pod ciśnieniem 34 atm) skrapla się w temperaturze 0 °C. W naturze występuje w stanie wolnym w atmosferze i związanym (np. Jako składnik CaCO3).
Dwutlenek węgla jest produktem spalania i oddychania. Jest wykorzystywany przez rośliny w procesie fotosyntezy. Tworzy się przy utlenianiu i fermentacji substancji organicznych. Występuje w kopalniach, cukrowniach, gorzelniach, wytwórniach win, silosach zbożowych, browarach i studzienkach kanalizacyjnych. W małych stężeniach nie jest trujący, w większych stężeniach dwutlenek węgla jest szkodliwy dla zdrowia, a nawet zabójczy, a jego działanie powoduje powstawanie hiperkapni, a co za tym idzie kwasicy oddechowej i w następstwie obrzęku mózgu.";;Dwutlenek Węgla
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Problemy jelitowe; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Demineralizacja kości;Kwas fosforowy
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Podrażnienia przewodu pokarmowego;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Fibromialgia;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Skurcze;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Bóle mięśniowe;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Drętwienie nóg;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Zawroty głowy;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Bóle głowy;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Szumy w uszach;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Bóle stawów;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Depresja;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Cukrzyca typu 2;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Nowotwór;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E951;Środek słodzący;Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w wielu wędlinach i rybach (zarówno w folii, jak i konserwach). Ostatnio coraz częściej pojawia się w produktach farmaceutycznych, np. w większości tabletek musujących. Jest też dostępny w formie tabletek, które można stosować zamiast cukru, pod kilkudziesięcioma nazwami handlowymi (m.in.: NutraSweet, Equal, Sugar Free, Canderel). W 2009 roku producent Ajinomoto zdecydował o zmianie nazwy swojego produktu na AminoSweet, aby zmienić negatywną reputację kojarzoną z dotychczasową nazwą. Jest też stosowany przez diabetyków (chorych na cukrzycę), podobnie jak wiele innych słodzików, nie wpływających na wytwarzanie insuliny po spożyciu.;Choroba sercowo-naczyniowa;Aspartam
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E950;Środek słodzący;"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych w wodzie. Odporny na temperaturę sterylizacji oraz pieczenia chleba. Szybko wywołuje krótkotrwałe odczucie słodkości. Działa synergistycznie z innymi syntetycznymi substancjami słodzącymi. Z poliolami daje słodycz zbliżoną do cukru. Nie stwarza zagrożeń, szybko ulega biodegradacji. Na temat szkodliwości jego spożycia istnieją kontrowersje. Po przeprowadzeniu testów na toksyczność i rakotwórczość acesulfam został zarejestrowany przez Komisję Europejską i amerykańską Agencją Żywności i Leków, a więc dopuszczony do obrotu na terenie Unii Europejskiej i Stanów Zjednoczonych (przy czym jego obecność w produkcie żywnościowym musi być wyraźnie zaznaczona na etykiecie). Niektórzy naukowcy twierdzą jednak, że testy bezpieczeństwa użycia tego związku nie zostały przeprowadzone prawidłowo i acesulfam wymaga dalszych badań. W 2014 roku potwierdzono, że może dojść do alergii na ten związek oraz inne zawierające siarkę na +VI stopniu utlenienia, w tym taurynę i disulfiram. Alergie te występują równolegle. W dużych ilościach może pogorszyć pamięć, hamować glikolizę, a to ostatnie prowadzi do wyczerpania zasobów ATP, zatem i niedoborów energetycznych. Aktywowany przez acesulfam K szlak metaboliczny prowadzi do wzrostu stężenia glukozy we krwi, jednak tylko w chwili, gdy było ono już w niej wysokie (w przeciwnym wypadku stężenie glukozy się nie zmienia).";Nowotwór;Acesulfam K
