Nazwa_produktu,Nazwa,Typ,Rodzaj,Url_obrazka,Producent,Oznaczenie,Typ_dodatku_do_żywności,Opis,Choroba,Nazwa_zwyczajowa
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E290,Konserwant,"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (o",,Dwutlenek Węgla
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Problemy jelitowe, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Nowotwór, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Nadciśnienie, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Zmniejszenie liczby białych krwinek w krwioobiegu, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Demineralizacja kości,Kwas fosforowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Choroby nerek,Kwas fosforowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Kamienie nerkowe,Kwas fosforowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Przeciwutleniacz,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Osteoporoza,Kwas fosforowy
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E290,Konserwant,"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (o",,Dwutlenek Węgla
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,"E150d

E150d",Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Problemy jelitowe, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Demineralizacja kości,Kwas fosforowy
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Podrażnienia przewodu pokarmowego,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Fibromialgia,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Skurcze,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Bóle mięśniowe,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Drętwienie nóg,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Zawroty głowy,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Bóle głowy,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Szumy w uszach,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Bóle stawów,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Depresja,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Cukrzyca typu 2,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Nowotwór,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E951,Środek słodzący,"Organiczny związek chemiczny, ester metylowy dipeptydu Asp-Phe. Stosowany jako sztuczny środek słodzący (słodzik) w produktach spożywczych, zwłaszcza takich, jak napoje niskokaloryczne, guma do żucia, drażetki odświeżające oddech. Można go też znaleźć w w",Choroba sercowo-naczyniowa,Aspartam
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Nowotwór,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Hipoglikemia,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Nudności,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Niewydolność nerek,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Niewydolność wątroby,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Problemy ze wzrokiem,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E950,Środek słodzący,"Heterocykliczny związek chemiczny stosowany jako słodzik (około 150 razy słodszy od sacharozy). Wzmacnia też smak i zapach. Jest wydalany w postaci niezmienionej.
W temperaturze pokojowej związek ten występuje w postaci białych kryształów, rozpuszczalnych",Bóle głowy,Acesulfam K
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E330,Przeciwutleniacz,"Organiczny związek chemiczny z grupy hydroksykwasów karboksylowych. Zawiera 3 grupy karboksylowe.Kwas cytrynowy jest uważany za związek bezpieczny, jednak może powodować uszkodzenia oczu w przypadku bezpośredniego kontaktu. Doniesienia o możliwym działani",,Kwas cytrynowy
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E330,Regulator kwasowości,"Organiczny związek chemiczny z grupy hydroksykwasów karboksylowych. Zawiera 3 grupy karboksylowe.Kwas cytrynowy jest uważany za związek bezpieczny, jednak może powodować uszkodzenia oczu w przypadku bezpośredniego kontaktu. Doniesienia o możliwym działani",,Kwas cytrynowy
Fanta,Fanta pomarańczowa,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/840/5449000004840/ShotType1_328x328.jpg,The Coca-Cola Company,E290,Konserwant,"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (o",,Dwutlenek Węgla
Fanta,Fanta pomarańczowa,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/840/5449000004840/ShotType1_328x328.jpg,The Coca-Cola Company,E330,Regulator kwasowości,"Organiczny związek chemiczny z grupy hydroksykwasów karboksylowych. Zawiera 3 grupy karboksylowe.Kwas cytrynowy jest uważany za związek bezpieczny, jednak może powodować uszkodzenia oczu w przypadku bezpośredniego kontaktu. Doniesienia o możliwym działani",,Kwas cytrynowy
Fanta,Fanta pomarańczowa,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/840/5449000004840/ShotType1_328x328.jpg,The Coca-Cola Company,E300,Regulator kwasowości,"Organiczny związek chemiczny z grupy nienasyconych alkoholi polihydroksylowych. Jest niezbędny do funkcjonowania organizmów żywych. Dla niektórych zwierząt, w tym ludzi, jest witaminą, czyli musi być dostarczany w pożywieniu. Jest także przeciwutleniaczem",,"Kwas askorbinowy, witamina C"
Fanta,Fanta pomarańczowa,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/840/5449000004840/ShotType1_328x328.jpg,The Coca-Cola Company,E300,Przeciwutleniacz,"Organiczny związek chemiczny z grupy nienasyconych alkoholi polihydroksylowych. Jest niezbędny do funkcjonowania organizmów żywych. Dla niektórych zwierząt, w tym ludzi, jest witaminą, czyli musi być dostarczany w pożywieniu. Jest także przeciwutleniaczem",,"Kwas askorbinowy, witamina C"
Fanta,Fanta pomarańczowa,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/840/5449000004840/ShotType1_328x328.jpg,The Coca-Cola Company,E412,Stabilizator,"Organiczny związek chemiczny z grupy galaktomannanów, tj. polisacharydów, których łańcuch główny utworzony jest z jednostek mannozy z bocznymi odgałęzieniami monogalaktozowymi. W przypadku gumy guar stosunek mannoza:galaktoza = ~3, a rozkład jednostek pod",,Guma guar
Fanta,Fanta pomarańczowa,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/840/5449000004840/ShotType1_328x328.jpg,The Coca-Cola Company,E160a,Barwnik,"Grupa organicznych związków chemicznych, rozbudowanych przestrzennie węglowodorów nienasyconych zawierających 40 atomów węgla. W cząsteczkach karotenów występują wieloatomowe układy sprzężonych wiązań podwójnych. Karoteny są pomarańczowożółtymi organiczny",,Karoteny
Fanta,Fanta Malinna,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/744/5449000045744/ShotType1_328x328.jpg,The Coca-Cola Company,E330,Regulator kwasowości,"Organiczny związek chemiczny z grupy hydroksykwasów karboksylowych. Zawiera 3 grupy karboksylowe.Kwas cytrynowy jest uważany za związek bezpieczny, jednak może powodować uszkodzenia oczu w przypadku bezpośredniego kontaktu. Doniesienia o możliwym działani",,Kwas cytrynowy
Fanta,Fanta Malinna,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/744/5449000045744/ShotType1_328x328.jpg,The Coca-Cola Company,E300,Regulator kwasowości,"Organiczny związek chemiczny z grupy nienasyconych alkoholi polihydroksylowych. Jest niezbędny do funkcjonowania organizmów żywych. Dla niektórych zwierząt, w tym ludzi, jest witaminą, czyli musi być dostarczany w pożywieniu. Jest także przeciwutleniaczem",,"Kwas askorbinowy, witamina C"
